,Fold,Accuracy,F1-Score,Precision,Recall
0,1.0,0.9918032786885246,0.9917996177536705,0.9918172808984337,0.9918032786885246
1,2.0,0.9941231054747912,0.9941203523950721,0.9941410614618468,0.9941231054747912
2,3.0,0.9928847641144625,0.9928798509532628,0.9929245738485678,0.9928847641144625
3,4.0,0.9950502706883217,0.9950508830361645,0.9950532387049301,0.9950502706883217
4,5.0,0.9925754060324826,0.9925706109543659,0.9926094194700501,0.9925754060324826
ORTALAMA,3.0,0.9932873649997166,0.9932842630185071,0.9933091148767657,0.9932873649997166
